,age_percentage20,fitness_age_list20,age_percentage25,fitness_age_list25
0,0.0,0.0,1.0,4.0
1,0.01,1.6397273957146151e-06,0.99,3.96
2,0.02,3.2794547914292303e-06,0.98,3.92
3,0.03,4.919182187143844e-06,0.97,3.88
4,0.04,6.5589095828584605e-06,0.96,3.84
5,0.05,8.198636978573076e-06,0.95,3.8
6,0.06,9.838364374287688e-06,0.94,3.76
7,0.07,1.1478091770002305e-05,0.9299999999999999,3.7199999999999998
8,0.08,1.3117819165716921e-05,0.92,3.68
9,0.09,1.4757546561431537e-05,0.91,3.64
10,0.1,1.6397273957146152e-05,0.9,3.6
11,0.11,1.803700135286077e-05,0.89,3.56
12,0.12,1.9676728748575376e-05,0.88,3.52
13,0.13,2.1316456144290004e-05,0.87,3.48
14,0.14,2.295618354000461e-05,0.86,3.44
15,0.15,2.459591093571923e-05,0.85,3.4
16,0.16,2.6235638331433842e-05,0.84,3.36
17,0.17,2.7875365727148463e-05,0.83,3.32
18,0.18,2.9515093122863073e-05,0.8200000000000001,3.2800000000000002
19,0.19,3.1154820518577684e-05,0.81,3.24
20,0.2,3.2794547914292304e-05,0.8,3.2
21,0.21,3.443427531000692e-05,0.79,3.16
22,0.22,3.607400270572154e-05,0.78,3.12
23,0.23,3.771373010143615e-05,0.77,3.08
24,0.24,3.935345749715075e-05,0.76,3.04
25,0.25,4.099318489286539e-05,0.75,3.0
26,0.26,4.263291228858001e-05,0.74,2.96
27,0.27,4.4272639684294615e-05,0.73,2.92
28,0.28,4.591236708000922e-05,0.72,2.88
29,0.29,4.7552094475723836e-05,0.71,2.84
30,0.3,4.919182187143846e-05,0.7,2.8
31,0.31,5.083154926715308e-05,0.69,2.76
32,0.32,5.2471276662867684e-05,0.6799999999999999,2.7199999999999998
33,0.33,5.411100405858229e-05,0.6699999999999999,2.6799999999999997
34,0.34,5.5750731454296925e-05,0.6599999999999999,2.6399999999999997
35,0.35,5.739045885001154e-05,0.65,2.6
36,0.36,5.9030186245726146e-05,0.64,2.56
37,0.37,6.066991364144076e-05,0.63,2.52
38,0.38,6.230964103715537e-05,0.62,2.48
39,0.39,6.394936843287001e-05,0.61,2.44
40,0.4,6.558909582858461e-05,0.6,2.4
41,0.41,6.722882322429922e-05,0.5900000000000001,2.3600000000000003
42,0.42,6.886855062001384e-05,0.5800000000000001,2.3200000000000003
43,0.43,7.050827801572848e-05,0.5700000000000001,2.2800000000000002
44,0.44,7.214800541144308e-05,0.56,2.24
45,0.45,7.378773280715768e-05,0.55,2.2
46,0.46,7.54274602028723e-05,0.54,2.16
47,0.47,7.70671875985869e-05,0.53,2.12
48,0.48,7.87069149943015e-05,0.52,2.08
49,0.49,8.034664239001613e-05,0.51,2.04
50,0.5,8.198636978573077e-05,0.5,2.0
51,0.51,8.362609718144539e-05,0.49,1.96
52,0.52,8.526582457716002e-05,0.48,1.92
53,0.53,8.690555197287462e-05,0.47,1.88
54,0.54,8.854527936858923e-05,0.45999999999999996,1.8399999999999999
55,0.55,9.018500676430384e-05,0.44999999999999996,1.7999999999999998
56,0.56,9.182473416001844e-05,0.43999999999999995,1.7599999999999998
57,0.57,9.346446155573304e-05,0.43000000000000005,1.7200000000000002
58,0.58,9.510418895144767e-05,0.42000000000000004,1.6800000000000002
59,0.59,9.674391634716231e-05,0.41000000000000003,1.6400000000000001
60,0.6,9.838364374287693e-05,0.4,1.6
61,0.61,0.00010002337113859155,0.39,1.56
62,0.62,0.00010166309853430615,0.38,1.52
63,0.63,0.00010330282593002075,0.37,1.48
64,0.64,0.00010494255332573537,0.36,1.44
65,0.65,0.00010658228072144998,0.35,1.4
66,0.66,0.00010822200811716458,0.33999999999999997,1.3599999999999999
67,0.67,0.0001098617355128792,0.32999999999999996,1.3199999999999998
68,0.68,0.00011150146290859385,0.31999999999999995,1.2799999999999998
69,0.69,0.00011314119030430842,0.31000000000000005,1.2400000000000002
70,0.7,0.00011478091770002308,0.30000000000000004,1.2000000000000002
71,0.71,0.00011642064509573769,0.29000000000000004,1.1600000000000001
72,0.72,0.00011806037249145229,0.28,1.12
73,0.73,0.0001197000998871669,0.27,1.08
74,0.74,0.00012133982728288152,0.26,1.04
75,0.75,0.00012297955467859613,0.25,1.0
76,0.76,0.00012461928207431073,0.24,0.96
77,0.77,0.00012625900947002542,0.22999999999999998,0.9199999999999999
78,0.78,0.00012789873686574002,0.21999999999999997,0.8799999999999999
79,0.79,0.00012953846426145462,0.20999999999999996,0.8399999999999999
80,0.8,0.00013117819165716922,0.19999999999999996,0.7999999999999998
81,0.81,0.00013281791905288384,0.18999999999999995,0.7599999999999998
82,0.82,0.00013445764644859844,0.18000000000000005,0.7200000000000002
83,0.83,0.00013609737384431307,0.17000000000000004,0.6800000000000002
84,0.84,0.00013773710124002767,0.16000000000000003,0.6400000000000001
85,0.85,0.00013937682863574227,0.15000000000000002,0.6000000000000001
86,0.86,0.00014101655603145695,0.14,0.56
87,0.87,0.00014265628342717153,0.13,0.52
88,0.88,0.00014429601082288615,0.12,0.48
89,0.89,0.00014593573821860076,0.10999999999999999,0.43999999999999995
90,0.9,0.00014757546561431536,0.09999999999999998,0.3999999999999999
91,0.91,0.00014921519301003,0.08999999999999997,0.3599999999999999
92,0.92,0.0001508549204057446,0.07999999999999996,0.31999999999999984
93,0.93,0.0001524946478014592,0.06999999999999995,0.2799999999999998
94,0.94,0.0001541343751971738,0.06000000000000005,0.2400000000000002
95,0.95,0.0001557741025928885,0.050000000000000044,0.20000000000000018
96,0.96,0.000157413829988603,0.040000000000000036,0.16000000000000014
97,0.97,0.0001590535573843177,0.030000000000000027,0.1200000000000001
98,0.98,0.00016069328478003227,0.020000000000000018,0.08000000000000007
99,0.99,0.00016233301217574692,0.010000000000000009,0.040000000000000036
